X,brood_ID,hdate_A,hdate_B,hdate_C,direction,age_diff
1,207_2019,2019-04-25,2019-04-26,2019-05-03,AB,-1
1,207_2019,2019-04-25,2019-04-26,2019-05-03,AC,-8
1,207_2019,2019-04-25,2019-04-26,2019-05-03,BA,1
1,207_2019,2019-04-25,2019-04-26,2019-05-03,BC,-7
1,207_2019,2019-04-25,2019-04-26,2019-05-03,CA,8
1,207_2019,2019-04-25,2019-04-26,2019-05-03,CB,7
2,217_2019,2019-04-28,2019-04-29,2019-05-03,AB,-1
2,217_2019,2019-04-28,2019-04-29,2019-05-03,AC,-5
2,217_2019,2019-04-28,2019-04-29,2019-05-03,BA,1
2,217_2019,2019-04-28,2019-04-29,2019-05-03,BC,-4
2,217_2019,2019-04-28,2019-04-29,2019-05-03,CA,5
2,217_2019,2019-04-28,2019-04-29,2019-05-03,CB,4
3,226_2019,2019-05-03,2019-05-06,2019-05-09,AB,-3
3,226_2019,2019-05-03,2019-05-06,2019-05-09,AC,-6
3,226_2019,2019-05-03,2019-05-06,2019-05-09,BA,3
3,226_2019,2019-05-03,2019-05-06,2019-05-09,BC,-3
3,226_2019,2019-05-03,2019-05-06,2019-05-09,CA,6
3,226_2019,2019-05-03,2019-05-06,2019-05-09,CB,3
4,287_2020,2020-04-30,2020-05-01,2020-05-06,AB,-1
4,287_2020,2020-04-30,2020-05-01,2020-05-06,AC,-6
4,287_2020,2020-04-30,2020-05-01,2020-05-06,BA,1
4,287_2020,2020-04-30,2020-05-01,2020-05-06,BC,-5
4,287_2020,2020-04-30,2020-05-01,2020-05-06,CA,6
4,287_2020,2020-04-30,2020-05-01,2020-05-06,CB,5
5,313_2019,2019-05-01,2019-05-04,NA,AB,-3
5,313_2019,2019-05-01,2019-05-04,NA,AC,NA
5,313_2019,2019-05-01,2019-05-04,NA,BA,3
5,313_2019,2019-05-01,2019-05-04,NA,BC,NA
5,313_2019,2019-05-01,2019-05-04,NA,CA,NA
5,313_2019,2019-05-01,2019-05-04,NA,CB,NA
6,313_2020,2020-04-29,2020-04-30,NA,AB,-1
6,313_2020,2020-04-29,2020-04-30,NA,AC,NA
6,313_2020,2020-04-29,2020-04-30,NA,BA,1
6,313_2020,2020-04-29,2020-04-30,NA,BC,NA
6,313_2020,2020-04-29,2020-04-30,NA,CA,NA
6,313_2020,2020-04-29,2020-04-30,NA,CB,NA
7,455_2019,2019-05-12,2019-05-14,NA,AB,-2
7,455_2019,2019-05-12,2019-05-14,NA,AC,NA
7,455_2019,2019-05-12,2019-05-14,NA,BA,2
7,455_2019,2019-05-12,2019-05-14,NA,BC,NA
7,455_2019,2019-05-12,2019-05-14,NA,CA,NA
7,455_2019,2019-05-12,2019-05-14,NA,CB,NA
8,462_2019,2019-05-11,2019-05-12,2019-05-15,AB,-1
8,462_2019,2019-05-11,2019-05-12,2019-05-15,AC,-4
8,462_2019,2019-05-11,2019-05-12,2019-05-15,BA,1
8,462_2019,2019-05-11,2019-05-12,2019-05-15,BC,-3
8,462_2019,2019-05-11,2019-05-12,2019-05-15,CA,4
8,462_2019,2019-05-11,2019-05-12,2019-05-15,CB,3
9,462_2020,2020-05-14,2020-05-15,2020-05-18,AB,-1
9,462_2020,2020-05-14,2020-05-15,2020-05-18,AC,-4
9,462_2020,2020-05-14,2020-05-15,2020-05-18,BA,1
9,462_2020,2020-05-14,2020-05-15,2020-05-18,BC,-3
9,462_2020,2020-05-14,2020-05-15,2020-05-18,CA,4
9,462_2020,2020-05-14,2020-05-15,2020-05-18,CB,3
10,476_2019,2019-04-25,2019-04-25,2019-04-27,AB,0
10,476_2019,2019-04-25,2019-04-25,2019-04-27,AC,-2
