eater,Age_A,brood_ID,weight_tot,Date_analysis,phase
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
B,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
A,11,207_2019,92.2,126,early
