attack_don;attack_rec;Date_analysis;Age_A;Age_B;Age_C;direction;brood_ID;phase;weight_tot;food_cat
A;B;133;18;17;8;AB;207_2019;early;154;high
B;A;133;18;17;8;BA;207_2019;early;154;high
A;B;133;18;17;8;AB;207_2019;early;154;high
A;B;133;18;17;8;AB;207_2019;early;154;high
A;B;133;18;17;8;AB;207_2019;early;154;high
A;B;133;18;17;8;AB;207_2019;early;154;high
A;B;133;18;17;8;AB;207_2019;early;154;high
A;B;133;18;17;8;AB;207_2019;early;154;high
B;A;135;20;19;10;BA;207_2019;late;232.2;high
A;B;135;20;19;10;AB;207_2019;late;232.2;high
A;B;135;20;19;10;AB;207_2019;late;232.2;high
A;B;135;20;19;10;AB;207_2019;late;232.2;high
A;B;135;20;19;10;AB;207_2019;late;232.2;high
A;B;135;20;19;10;AB;207_2019;late;232.2;high
A;B;135;20;19;10;AB;207_2019;late;232.2;high
A;B;135;20;19;10;AB;207_2019;late;232.2;high
A;B;135;20;19;10;AB;207_2019;late;232.2;high
A;B;135;20;19;10;AB;207_2019;late;232.2;high
A;B;135;20;19;10;AB;207_2019;late;232.2;high
A;C;135;20;19;10;AC;207_2019;late;232.2;high
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
A;B;126;11;10;1;AB;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
B;A;126;11;10;1;BA;207_2019;early;92.2;medium
A;B;126;11;10;1;AB;207_2019;early;92.2;medium
A;B;126;11;10;1;AB;207_2019;early;92.2;medium
